"full_name","avg_ast_stl","avg_tov","games_played"
"Julius Randle","6.5","2.57","56"
"Donte DiVincenzo","5.6","1.50","56"
"Anthony Edwards","5.1","2.70","46"
"Ayo Dosunmu","4.3","0.67","3"
"Jaden McDaniels","3.8","1.72","54"
"Naz Reid","3.5","1.61","56"
"Mike Conley","3.4","0.60","45"
"Bones Hyland","2.7","0.73","56"
"Rudy Gobert","2.3","1.27","56"
"Rob Dillingham","1.5","0.71","51"
"Jaylen Clark","1.3","0.33","54"
"Terrence Shannon Jr.","0.9","0.65","23"
"Joe Ingles","0.4","0.13","54"
"Leonard Miller","0.2","0.17","52"
"Johnny Juzang","0.2","0.10","50"
"Joan Beringer","0.2","0.16","49"
