"player_id","full_name","first_name","last_name","position","height","weight","birthdate","country","is_active","last_updated_at"
1630560,"Cam Thomas","Cam","Thomas","",NULL,NULL,NULL,NULL,NULL,"2026-02-15 03:01:35.325254-06"
1628969,"Mikal Bridges","Mikal","Bridges","F",NULL,NULL,NULL,NULL,NULL,"2026-02-12 02:00:39.315355-06"
1630559,"Austin Reaves","Austin","Reaves","",NULL,NULL,NULL,NULL,NULL,"2026-02-15 03:01:37.172365-06"
1631132,"Christian Koloko","Christian","Koloko","",NULL,NULL,NULL,NULL,NULL,"2026-02-09 21:40:59.71186-06"
1628384,"OG Anunoby","OG","Anunoby","F",NULL,NULL,NULL,NULL,NULL,"2026-02-10 13:14:29.095534-06"
201143,"Al Horford","Al","Horford","",NULL,NULL,NULL,NULL,NULL,"2026-02-12 02:00:45.671318-06"
1626172,"Kevon Looney","Kevon","Looney","",NULL,NULL,NULL,NULL,NULL,"2026-02-12 02:00:42.550391-06"
1629651,"Nic Claxton","Nic","Claxton","C",NULL,NULL,NULL,NULL,NULL,"2026-02-09 21:41:11.533772-06"
201142,"Kevin Durant","Kevin","Durant","F",NULL,NULL,NULL,NULL,NULL,"2026-02-12 02:00:40.944456-06"
1627824,"Guerschon Yabusele","Guerschon","Yabusele","C",NULL,NULL,NULL,NULL,NULL,"2026-02-12 02:00:37.633198-06"
1630596,"Evan Mobley","Evan","Mobley","F",NULL,NULL,NULL,NULL,NULL,"2026-02-05 15:09:35.864778-06"
1641750,"Ryan Kalkbrenner","Ryan","Kalkbrenner","C",NULL,NULL,NULL,NULL,NULL,"2026-02-12 02:00:35.099787-06"
1641706,"Brandon Miller","Brandon","Miller","G",NULL,NULL,NULL,NULL,NULL,"2026-02-12 02:00:35.099787-06"
1631095,"Jabari Smith Jr.","Jabari","Smith Jr.","F",NULL,NULL,NULL,NULL,NULL,"2026-02-12 02:00:40.944456-06"
1642935,"Chucky Hepburn","Chucky","Hepburn","",NULL,NULL,NULL,NULL,NULL,"2026-02-05 14:58:24.915535-06"
1626157,"Karl-Anthony Towns","Karl-Anthony","Towns","C",NULL,NULL,NULL,NULL,NULL,"2026-02-12 02:00:39.315355-06"
1642261,"Dalton Knecht","Dalton","Knecht","",NULL,NULL,NULL,NULL,NULL,"2026-02-15 03:01:37.172365-06"
1630163,"LaMelo Ball","LaMelo","Ball","G",NULL,NULL,NULL,NULL,NULL,"2026-02-12 02:00:35.099787-06"
1629060,"Rui Hachimura","Rui","Hachimura","F",NULL,NULL,NULL,NULL,NULL,"2026-02-15 03:01:37.172365-06"
1630578,"Alperen Sengun","Alperen","Sengun","C",NULL,NULL,NULL,NULL,NULL,"2026-02-12 02:00:40.944456-06"
1630540,"Miles McBride","Miles","McBride","",NULL,NULL,NULL,NULL,NULL,"2026-02-10 13:14:29.095534-06"
1631106,"Tari Eason","Tari","Eason","G",NULL,NULL,NULL,NULL,NULL,"2026-02-12 02:00:40.944456-06"
1642883,"Sion James","Sion","James","",NULL,NULL,NULL,NULL,NULL,"2026-02-12 02:00:35.099787-06"
203486,"Mason Plumlee","Mason","Plumlee","C",NULL,NULL,NULL,NULL,NULL,"2026-02-10 13:14:30.563168-06"
1641708,"Amen Thompson","Amen","Thompson","G",NULL,NULL,NULL,NULL,NULL,"2026-02-12 02:00:40.944456-06"
1627780,"Gary Payton II","Gary","Payton II","",NULL,NULL,NULL,NULL,NULL,"2026-02-12 02:00:45.671318-06"
1642275,"Tidjane Salaün","Tidjane","Salaün","",NULL,NULL,NULL,NULL,NULL,"2026-02-12 02:00:35.099787-06"
1642263,"Reed Sheppard","Reed","Sheppard","",NULL,NULL,NULL,NULL,NULL,"2026-02-12 02:00:40.944456-06"
1630198,"Isaiah Joe","Isaiah","Joe","G",NULL,NULL,NULL,NULL,NULL,"2026-02-15 03:01:35.325254-06"
1630544,"Tre Mann","Tre","Mann","",NULL,NULL,NULL,NULL,NULL,"2026-02-12 02:00:35.099787-06"
1629028,"Deandre Ayton","Deandre","Ayton","",NULL,NULL,NULL,NULL,NULL,"2026-02-10 13:14:32.019353-06"
203110,"Draymond Green","Draymond","Green","C",NULL,NULL,NULL,NULL,NULL,"2026-02-12 02:00:45.671318-06"
1629012,"Collin Sexton","Collin","Sexton","G",NULL,NULL,NULL,NULL,NULL,"2026-02-12 02:00:37.633198-06"
1630228,"Jonathan Kuminga","Jonathan","Kuminga","",NULL,NULL,NULL,NULL,NULL,"2026-02-10 13:14:31.285828-06"
