"game_id","team_id","season","is_home","opponent_team_id","minutes","pts","fgm","fga","fg3m","fg3a","ftm","fta","oreb","dreb","reb","ast","stl","blk","tov","pf","off_rating","def_rating","net_rating","pace","ts_pct","last_updated_at"
"0022500001",1610612760,"2025-26",True,1610612745,"290:00",125,46,104,13,52,20,25,11,27,38,29,12,4,11,27,"112.6","107.8","4.8","93.52","0.543","2026-02-05 11:33:08.093955-06"
"0022500001",1610612745,"2025-26",False,1610612760,"290:00",124,43,97,11,39,27,31,16,36,52,23,6,5,22,26,"107.8","112.6","-4.8","93.52","0.56","2026-02-05 11:33:08.093955-06"
"0022500002",1610612747,"2025-26",True,1610612744,"240:00",109,42,77,8,32,17,28,7,32,39,23,7,2,19,21,"106.9","119.0","-12.1","101.0","0.61","2026-02-05 11:33:09.309514-06"
"0022500002",1610612744,"2025-26",False,1610612747,"240:00",119,38,78,17,40,26,29,9,31,40,29,10,4,18,27,"119.0","106.9","12.1","101.0","0.656","2026-02-05 11:33:09.309514-06"
"0022500003",1610612752,"2025-26",True,1610612739,"240:00",119,37,86,14,40,31,36,9,39,48,22,8,4,13,23,"113.3","105.7","7.6","105.0","0.584","2026-02-05 11:33:10.485735-06"
"0022500003",1610612739,"2025-26",False,1610612752,"240:00",111,40,86,19,46,12,18,4,28,32,21,8,4,15,25,"105.7","113.3","-7.6","105.0","0.591","2026-02-05 11:33:10.485735-06"
"0022500080",1610612766,"2025-26",True,1610612751,"240:00",136,48,90,17,36,23,33,14,36,50,33,5,5,16,25,"128.3","110.4","17.9","106.0","0.651","2026-02-05 11:33:11.672274-06"
"0022500080",1610612751,"2025-26",False,1610612766,"240:00",117,39,88,14,40,25,34,12,26,38,25,8,3,17,28,"110.4","128.3","-17.9","106.0","0.568","2026-02-05 11:33:11.672274-06"
"0022500081",1610612753,"2025-26",True,1610612748,"240:00",125,42,90,12,30,29,35,9,37,46,23,8,7,15,20,"112.6","109.0","3.6","111.0","0.593","2026-02-05 11:33:13.000353-06"
"0022500081",1610612748,"2025-26",False,1610612753,"240:00",121,44,91,12,35,21,27,10,37,47,26,9,4,17,28,"109.0","112.6","-3.6","111.0","0.588","2026-02-05 11:33:13.000353-06"
"0022500082",1610612737,"2025-26",True,1610612761,"240:00",118,38,90,10,35,32,37,8,26,34,25,7,6,15,24,"104.4","122.1","-17.7","113.0","0.555","2026-02-05 11:33:14.374683-06"
"0022500082",1610612761,"2025-26",False,1610612737,"240:00",138,54,95,6,25,24,29,12,42,54,36,10,4,19,31,"122.1","104.4","17.7","113.0","0.64","2026-02-05 11:33:14.374683-06"
"0022500083",1610612738,"2025-26",True,1610612755,"240:00",116,41,91,11,43,23,26,10,32,42,16,7,4,11,28,"116.0","117.0","-1.0","100.0","0.566","2026-02-05 11:33:16.008235-06"
"0022500083",1610612755,"2025-26",False,1610612738,"240:00",117,39,85,16,41,23,30,10,30,40,23,3,4,14,23,"117.0","116.0","1.0","100.0","0.596","2026-02-05 11:33:16.008235-06"
"0022500004",1610612742,"2025-26",True,1610612759,"240:00",92,31,83,9,21,21,26,9,28,37,20,5,3,16,24,"91.1","125.0","-33.9","100.5","0.487","2026-02-05 11:33:17.649856-06"
"0022500004",1610612759,"2025-26",False,1610612742,"240:00",125,50,87,8,20,17,28,11,39,50,24,10,5,14,24,"125.0","91.1","33.9","100.5","0.629","2026-02-05 11:33:17.649856-06"
"0022500005",1610612754,"2025-26",True,1610612760,"290:00",135,46,105,13,43,30,40,11,44,55,21,6,4,14,37,"108.0","114.6","-6.6","102.62","0.551","2026-02-05 11:33:19.262335-06"
"0022500005",1610612760,"2025-26",False,1610612754,"290:00",141,43,95,10,35,45,51,9,51,60,17,6,2,14,33,"114.6","108.0","6.6","102.62","0.6","2026-02-05 11:33:19.262335-06"
"0022500084",1610612741,"2025-26",True,1610612765,"240:00",115,39,87,11,30,26,32,12,38,50,29,6,8,17,23,"108.5","105.7","2.8","105.5","0.569","2026-02-05 11:33:21.024794-06"
